product_id,product_name,brand,grammage_quantity,grammage_unit,pdp_url,selling_price,regular_price,currency,country_of_origin,breadcrumb,product_description,image_url
0000000000001446,"Spring Mix, 5 oz",Little Salad Bar,5,oz,https://www.aldi.us/product/little-salad-bar-spring-mix-0000000000001446,2.65,2.65,USD,USA,Home > Fresh Produce > Salad Kits,"Little Salad Bar Spring Mix, 5 oz Freshen up your meals with Little Salad Bar Spring Mix. This 5 oz bag includes a mix of baby lettuces, baby leafy greens, and radicchio. Perfect for a quick salad, adding to sandwiches, or topping your favorite dishes. No preservatives, just crisp, ready-to-eat greens. Keep it on hand for a healthy, convenient meal option. Simple, straightforward, and deliciously fresh.","['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/9922bb60-fa85-4bd8-910c-da511fe6a48b/Spring%20Mix%205%20oz', 'https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/d4234301-2420-4aae-8206-0d416483cd81/Spring%20Mix%205%20oz']"
0000000000001447,"Garden Salad, 12 oz",Little Salad Bar,12,oz,https://www.aldi.us/product/little-salad-bar-garden-salad-0000000000001447,1.99,1.99,USD,USA,Home > Fresh Produce > Salad Kits,"Meet your go-to salad mix for any occasion. Little Salad Bar Garden Salad features a crisp blend of iceberg lettuce, carrots, and red cabbage. Perfect for a quick and easy side dish or a base for your favorite protein. Just open, serve, and enjoy. Keep your meals fresh and straightforward with this ready-to-eat salad.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/ae1d520d-613c-442d-9d6c-5be09f9badce/Garden%20Salad%2012%20oz']
0000000000001723,"Sweet Kale Chopped Salad Kit, 12 oz",Little Salad Bar,12,oz,https://www.aldi.us/product/little-salad-bar-sweet-kale-chopped-salad-kit-0000000000001723,3.29,3.29,USD,USA,Home > Fresh Produce > Salad Kits,"Looking for a quick and easy healthy meal option? Shop for Little Salad Bar Sweet Kale Chopped Salad Kit from ALDI. With broccoli, green cabbage, kale and other vegetables, dried cranberries, sunflower seeds and citrus dressing. This refreshing salad can be made within seconds for a tasty yet healthy lunch or dinner. Discover all of our convenient meal options for affordable prices when you shop at an ALDI near you.","['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/86e0fdc6-a084-43cd-8c37-627b26bc5839/Sweet%20Kale%20Chopped%20Salad%20Kit%2012%20oz', 'https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/36caed14-e887-413d-99d4-b50b6443183f/Sweet%20Kale%20Chopped%20Salad%20Kit%2012%20oz']"
0000000000001748,"Caesar Salad Kit, 10 oz",Little Salad Bar,10,oz,https://www.aldi.us/product/little-salad-bar-caesar-salad-kit-0000000000001748,3.09,3.09,USD,USA,Home > Fresh Produce > Salad Kits,"Little Salad Bar Caesar Salad Kit, 10 oz is your go-to for a quick and easy meal. This kit includes crisp iceberg and green leaf lettuce, Caesar dressing, shredded cheese, and croutons. Perfect for lunch or a side dish, this all-in-one kit saves time and effort. Just toss and serve for a fresh, satisfying salad that hits the spot every time. Elevate your meals effortlessly with this convenient kit.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/602e50a3-13ff-4f0b-9243-91046cdb8357/Caesar%20Salad%20%20Kit%2010%20oz']
0000000000001989,"Asian Chopped Salad Kit, 12 oz",Little Salad Bar,12,oz,https://www.aldi.us/product/little-salad-bar-asian-chopped-salad-kit-0000000000001989,3.29,3.29,USD,USA,Home > Fresh Produce > Salad Kits,"In the market for a meal that's light but still filling? Hop on over to ALDI and pick up the Little Salad Bar Asian Chopped Salad Kit. This kit has everything you need to make a yummy, healthy salad. It's also washed and ready to eat! Each kit comes with green cabbage, green leaf lettuce, red cabbage, carrots, green onions, wonton strips, sliced almonds, and Asian Sesame Dressing. Yum! Discover all of our affordable and delicious fresh produce options at ALDI.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/fd907cd2-eab9-432f-96b5-24d079ff3103/Asian%20Chopped%20Salad%20Kit%2012%20oz']
0000000000002006,"Organic Arugula and Spinach Mix, 5 oz",Simply Nature,5,oz,https://www.aldi.us/product/simply-nature-organic-arugula-and-spinach-mix-5oz-0000000000002006,2.85,2.85,USD,USA,Home > Fresh Produce > Salad Kits,"Elevate your meals with Simply Nature Organic Arugula and Spinach Mix. This mix of fresh baby arugula and spinach is perfect for salads, smoothies and as a nutritious side dish. USDA organic and thoroughly washed, it's ready to use straight from the package. Add a burst of flavor and nutrients to your dishes with this versatile and convenient mix. Keep refrigerated for ultimate freshness.","['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/ccf880f2-7dbb-4de2-ac6c-6fab020c0bd4/Organic%20Arugula%20and%20Spinach%20Mix%205%20oz', 'https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/f262ea61-8d64-40dd-8613-afd917e235a8/Organic%20Arugula%20and%20Spinach%20Mix%205%20oz']"
0000000000002186,"Chicken Caesar Salad Bowl, 5.75 oz",Little Salad Bar,5.75,oz,https://www.aldi.us/product/little-salad-bar-chicken-caesar-salad-bowl-0000000000002186,3.19,3.19,USD,USA,Home > Fresh Produce > Salad Kits,"Voted the Best New Ready-Made Salad Kits by Consumers, the Little Salad Bar Chicken Caesar Salad Bowl is a great lunch or snack time option. Each bowl is packaged and ready-to-eat with chopped romaine lettuce, shredded Asiago cheese, grilled chicken breast, and a cup of Caesar dressing. The only thing you need to do is shake it up and enjoy. Each serving is packed with 16 grams of protein, which is perfect to help keep you going all day. Check out our other ready-made and pre-packaged produce options when you shop at ALDI.","['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/47f4c0ec-1ced-494a-821a-8cb8508701ad/Chicken%20Caesar%20Salad%20Bowl%205.75%20oz', 'https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/b5a3d63d-c0f6-49bc-84ec-f97cb15ed043/Chicken%20Caesar%20Salad%20Bowl%205.75%20oz', 'https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/d88a22cd-d7dc-4592-a3e0-debf043f91a9/Chicken%20Caesar%20Salad%20Bowl%205.75%20oz']"
0000000000002249,"Shredded Lettuce, 8 oz",Little Salad Bar,8,oz,https://www.aldi.us/product/little-salad-bar-shredded-lettuce-0000000000002249,1.75,1.75,USD,USA,Home > Fresh Produce > Salad Kits,"Whipping up healthy lunches is easy with this Little Salad Bar Shredded Lettuce! The fresh iceberg lettuce has been finely chopped for a crisp bite every time. Top yours with colorful veggies, your favorite protein, and a drizzle of dressing for the perfect lunch salad!","['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/d49e40f3-3cfb-4e61-9f52-039900d3b710/Shredded%20Lettuce%208%20oz', 'https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/4edf3736-96f6-4b73-b0b9-079e571cea38/Shredded%20Lettuce%208%20oz', 'https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/589ad0f8-cb22-456e-9d17-76e4fb2cdd08/Shredded%20Lettuce%208%20oz', 'https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/b90ae389-4251-46e8-9c7e-6b7837bd95b5/Shredded%20Lettuce%208%20oz']"
0000000000002250,"Mango Slices, 16 oz",Little Salad Bar,16,oz,https://www.aldi.us/product/little-salad-bar-mango-slices-0000000000002250,5.49,5.49,USD,,Home > Fresh Produce > Fresh Fruit,"Indulge in the tropical sweetness of Little Salad Bar Mango Slices. Conveniently pre-sliced, they're perfect for a quick snack, adding to salads, or blending into smoothies. Each 16 oz pack is ready to eat and bursting with natural flavor. Enjoy the freshness of mangoes without the hassle. Keep refrigerated for optimal taste.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/349652ad-3906-41ec-8083-ca53775c9c93/Mango%20Slices%2016%20oz']
0000000000002251,"Watermelon Spears, 16 oz",Little Salad Bar,16,oz,https://www.aldi.us/product/little-salad-bar-watermelon-spears-0000000000002251,,,USD,USA,Home > Fresh Produce > Fresh Fruit,"Enjoy a healthy snack with these Little Salad Bar Watermelon Spears! The fresh, juicy watermelon has been thickly sliced for an easy handheld treat. Share yours with friends at your next backyard barbecue for the perfect finishing touch to your party spread!",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/0c039ed5-8b5d-416b-9819-2166c79eb400/Watermelon%20%20Spears%2016%20oz']
0000000000002452,"Sweet Butter Salad, 8 oz",Little Salad Bar,8,oz,https://www.aldi.us/product/little-salad-bar-sweet-butter-salad-0000000000002452,2.65,2.65,USD,USA,Home > Fresh Produce > Salad Kits,"Fresh, crisp, and ready to eat! This Little Salad Bar Sweet Butter Salad is a perfect blend of butter and red leaf lettuces. Ideal for a quick side salad, a base for your favorite toppings, or in a wrap for a healthy meal. Keep refrigerated and enjoy the excellent source of vitamins A and K, along with a good source of folate.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/7f86aff5-57fa-407d-a500-9fe8b3baff4c/Sweet%20Butter%20Salad%208%20oz']
0000000000002453,"Organic Mixed Greens, 5 oz",Simply Nature,5,oz,https://www.aldi.us/product/simply-nature-organic-mixed-greens-0000000000002453,2.85,2.85,USD,USA,Home > Fresh Produce > Salad Kits,"Simply Nature Organic Mixed Greens offer a blend of baby spinach, baby chard, and baby green kale. Perfect for salads, smoothies, or as a fresh garnish, these thoroughly washed greens are ready to use. Enjoy a nutritious, convenient addition to your meals with no preservatives. Keep refrigerated for optimal freshness.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/fa233519-c37e-40e3-96f1-9c4fa6156d48/Organic%20%20Mixed%20Greens%205%20oz']
0000000000002484,"Organic Spring Mix, 16 oz",Simply Nature,16,oz,https://www.aldi.us/product/simply-nature-organic-spring-mix-16-oz-0000000000002484,5.05,5.05,USD,USA,Home > Fresh Produce > Salad Kits,"Fresh, organic, and ready to elevate any meal. Simply Nature Organic Spring Mix offers a vibrant blend of baby lettuces, greens, and radicchio. Perfect for salads, wraps, or as a crisp side dish. Thoroughly washed and free of preservatives, this mix is a convenient and healthy choice.","['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/60a7b8c6-1710-4aa2-a421-f7f73655dc40/Organic%20Spring%20Mix%2016%20oz', 'https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/e02231cb-bf21-48d8-a3cd-2bdf34539a21/Organic%20Spring%20Mix%2016%20oz']"
0000000000002510,"Organic Baby Spinach, 5 oz",Simply Nature,5,oz,https://www.aldi.us/product/simply-nature-organic-baby-spinach-5oz-0000000000002510,2.85,2.85,USD,USA,Home > Fresh Produce > Salad Kits,"Fresh and nutritious, Simply Nature Organic Baby Spinach is a versatile addition to your meals. Perfect for salads, smoothies and sautéed dishes, this thoroughly washed spinach is free from preservatives. Add it to your favorite recipes for a boost of flavor and nutrients. Keep refrigerated for the best quality.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/2ba6509a-4842-4361-96a9-7c932353ef40/Organic%20Baby%20Spinach%205%20oz']
0000000000002659,"Vidalia Onions, 2 lb",ALDI,2,lb,https://www.aldi.us/product/vidalia-onions-bag-0000000000002659,2.19,2.19,USD,USA,Home > Featured > Price Drops,"Grab a bag of fresh Vidalia Onions from ALDI on your next shopping trip. Onions are a great addition to many meals- lunch or dinner. Use in omelets, salads, stir fry, tacos and more. Add a kick of sweet and spicy flavor to any recipe with sweet onions from ALDI. We always offer fresh produce at affordable prices.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/2c838cf1-c1df-4d21-bce9-f3417caaf5d4/Vidalia%20Onions%202%20lb']
0000000000003552,"Carrots, 2 lb",ALDI,2,lb,https://www.aldi.us/product/carrots-package-0000000000003552,1.65,1.65,USD,USA,Home > Easter > Easter Dinner,"Shop for a package of fresh and healthy Carrots from ALDI. Eat alone or enjoy with vegetable dips. Add to soups, salads, stews, and more for a healthy and tasty addition. Enjoy carrots alone, with your favorite dip, on a vegetable tray, in soups and more. Selecting Tips •Pick carrots that are smooth, firm and crisp with a deep color.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/5fa19379-4369-4f08-9a2b-b07c535a43d4/Carrots%202%20lb']
0000000000003557,"Romaine Lettuce Hearts, 3 count",ALDI,,,https://www.aldi.us/product/romaine-hearts-0000000000003557,3.29,3.29,USD,USA,Home > Fresh Produce > Salad Kits,"These fresh Romaine Lettuce Hearts from ALDI are the perfect base for a delicious salad! Each crisp romaine heart is packed with Vitamin C, calcium, and Vitamin A to support your immune system and heart health. Team yours with colorful veggies, your favorite protein, and a drizzle of flavorful dressing for the ultimate lunch!",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/b26136ae-078d-4c62-a0a6-6d85c6c40804/Romaine%20Lettuce%20Hearts%203%20count']
0000000000003569,"Serrano Peppers, 8 oz",ALDI,8,oz,https://www.aldi.us/product/serrano-peppers-package-0000000000003569,,,USD,,"Home > Fresh Produce > Fresh Vegetables ","Turn up the heat with Serrano Peppers. Perfect for salsas, stir-fries and marinades, these fresh peppers pack a punch of flavor. Add them to your favorite dishes for an extra kick or use them to spice up your homemade hot sauce. With 8 oz of vibrant green peppers, the culinary possibilities are endless.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/609811bc-22fd-44cd-8ceb-e3ff5d9214a7/Serrano%20Peppers%208%20oz']
0000000000003585,"Papaya, per lb",ALDI,,,https://www.aldi.us/product/papayas-0000000000003585,,,USD,,Home > Fresh Produce > Fresh Fruit,,['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/0c82114d-68ef-4afc-977e-537219f6be4d/Papaya%20per%20lb']
0000000000003587,"Envy Apples, 2 lb",ALDI,2,lb,https://www.aldi.us/product/envy-apples-2-lb-0000000000003587,,,USD,USA,Home > Fresh Produce > Fresh Fruit,"Enjoy crisp, juicy Envy Apples, perfect for snacking, baking or adding to salads. These vibrant apples are a versatile addition to any meal, offering a sweet and refreshing taste. Ideal for lunchboxes or a quick snack, Envy Apples bring a delightful crunch to your day. Enjoy the natural goodness in every bite.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/9e52de72-854c-4af8-9b58-0943ad7d2a54/Envy%20Apples%202%20lb']
0000000000003596,"Cucumber, each",ALDI,,,https://www.aldi.us/product/fresh-cucumber-ea-0000000000003596,0.79,0.79,USD,USA,Home > Featured > Charcuterie,"Crisp and refreshing, Cucumbers are perfect for salads, sandwiches and snacking. Add slices to your favorite dishes for a cool, crunchy texture or blend into smoothies for a hydrating twist. Versatile and nutritious, it's a staple for any kitchen.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/9b526245-b480-43ca-a929-e4520c3015ae/Cucumber%20each']
0000000000003600,"Artisan Lettuce, each",ALDI,,,https://www.aldi.us/product/artisan-lettuce-0000000000003600,3.29,3.29,USD,USA,Home > Fresh Produce > Salad Kits,"Elevate your meals with Artisan Lettuce. This versatile mix is perfect for fresh salads, adding crisp texture to sandwiches or as a base for wraps. Enjoy the vibrant colors and flavors that bring a gourmet touch to any dish. Conveniently packaged for easy use. Make every meal special with Artisan Lettuce.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/403d16f0-6eb2-4d93-9015-96975b3561b7/Artisan%20Lettuce%20each']
0000000000003606,"Organic Green Grapes, 2 lb",ALDI,2,lb,https://www.aldi.us/product/org-green-grapes-0000000000003606,5.49,5.49,USD,USA,Home > Featured > Charcuterie,"Enjoy the crisp, refreshing taste of Organic Green Grapes. These grapes are perfect for snacking, adding to salads or blending into smoothies. Each grape is packed with natural sweetness and crunch. Elevate your fruit bowl or lunchbox with these versatile grapes.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/b02cb68b-1ebd-4ef1-a2ef-f15256932915/Organic%20Green%20Grapes%202%20lb']
0000000000003633,"Baby Peeled Carrots, 16 oz",ALDI,16,oz,https://www.aldi.us/product/baby-peeled-carrots-16-oz-0000000000003633,1.35,1.35,USD,USA,Home > Healthy Living > Healthy Food & Snacks,"They may be small, but our 16 ounce bag of fresh, baby peeled carrots are still packed with as much vitamin A as a regular carrot. Pair our peeled carrots with your favorite dips like ranch, hummus, or dressing. Or, combine our baby carrots with brown sugar and honey and put them in the oven for a sweet treat.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/834b8b28-5797-47c6-8344-888f009032b5/Baby%20%20Peeled%20Carrots%2016%20oz']
0000000000003638,"Broccoli Florets, 12 oz",ALDI,12,oz,https://www.aldi.us/product/broccoli-florets-12-oz-0000000000003638,,,USD,,"Home > Fresh Produce > Fresh Vegetables ",,['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/4b30fd2f-1c8e-40d8-a7cb-9d173ea8848d/Broccoli%20%20Florets%2012%20oz']
0000000000003640,"Autumn Crisp Grapes, 2 lb Bag",ALDI,2,lb,https://www.aldi.us/product/autumncrisp-grapes-2-lb-0000000000003640,6.59,6.59,USD,USA,Home > Featured > Charcuterie,,['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/c76bd2cb-9f84-44c2-aa21-187979a9c471/Autumn%20Crisp%20Grapes%202%20lb%20Bag']
0000000000003644,"Granny Smith Apples, 3 lb",ALDI,3,lb,https://www.aldi.us/product/granny-smith-apples-3-lb-0000000000003644,4.29,4.29,USD,USA,Home > Fresh Produce > Fresh Fruit,"Granny Smith Apples are a sweet and healthy snack all year round. Enjoy alone or dipped in peanut butter, caramel, or even in dessert and salad recipes. Discover more Granny Smith apple tips today. Apple Tips •Ripe, full color apples are great for eating. Older apples that are past ripe and a bit mushy work well for baking. Apple Picking Tips •Pick apples that are firm, shiny and smooth with intact stems. •They should smell fresh and not musty.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/e42a9239-d9e8-4a61-9eff-c399e41b887a/Granny%20Smith%20Apples%203%20lb']
0000000000003662,"Lime, each",ALDI,,,https://www.aldi.us/product/limes-each-0000000000003662,,,USD,,Home > Fresh Produce > Fresh Fruit,"Brighten up any dish with the zesty tang of fresh Limes. Perfect for adding a splash of flavor to your favorite cocktails, marinades or dressings. Slice and squeeze over grilled meats or seafood for an extra burst of citrus. Keep a few on hand for all your culinary needs. Elevate your meals with the vibrant taste of lime.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/e2927628-4a5b-4dbb-968b-a5f9272cb090/Lime%20each']
0000000000003742,"Red Delicious Apples, 3 lb",ALDI,3,lb,https://www.aldi.us/product/red-delicious-apples-3-lb-0000000000003742,3.09,3.09,USD,USA,Home > Fresh Produce > Fresh Fruit,"Pick up fresh, Red Delicious Apples on your next trip to ALDI. These apples can be enjoyed on their own or added to a variety of dishes. Use Red Delicious apples in homemade apple cider, baked apples, apple crumble, apple pie, applesauce, and so much more. You can even juice these apples to make a delicious drink. Discover all of our affordable fresh fruit options at an ALDI near you.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/715c5d5b-57f4-4d24-8d51-26ffdccf6164/Red%20Delicious%20Apples%203%20lb']
0000000000003798,"Strawberries,  1 lb",ALDI,1,lb,https://www.aldi.us/product/strawberries-package-0000000000003798,1.99,1.99,USD,USA,Home > College & Dorm Room > Dorm Room Meals & Snacks,Brighten up a summer salad or just enjoy a juicy snack with fresh Strawberries from ALDI. These ripe red berries are packed with a subtly sweet flavor you'll love. Use them to create a homemade jam or dip them in melted dark chocolate for an indulgent treat.,['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/c4367399-dc7a-4abb-9dbb-e804352c78eb/Strawberries%20%20%201%20lb']
