web-scraper-order,web-scraper-start-url,product_links,product_links-href,image_url-src,breadcrumbs,selling_price,upc,ingridents,warning,grammage,product_specification,regular_price
1751952988-13,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,"Allegra Adult 24 Hour Allergy Tablets, Non-Drowsy Antihistamine  - 45 ea","https://www.walgreens.com/store/c/allegra-adult-24-hour-allergy-tablets,-non-drowsy-antihistamine/ID=300404265-product",https://pics.walgreens.com/prodimg/322178/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,$29.99,4116741274,Fexofenadrine HCl - 180 mg (Antihistamine),"Do not use if you have ever had an allergic reaction to this product or any of its ingredients. Ask a doctor before use if you have kidney disease. Your doctor should determine if you need a different dose. When using this product Stop use and ask a doctor if an allergic reaction to this product occurs. Seek medical help right away. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away.",45.0 ea,"Product Type:Allergy Medicine
Product Name:Adult 24 Hour Allergy Tablets, Non-Drowsy Antihistamine
Brand:Allegra
FSA/HSA Eligible:Yes
Size/Count:45.0 ea
UPC:04116741274Item Code:459353",$29.99
1751952993-14,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Walgreens 24 Hour Allergy & Congestion Relief Fexofenadine Pseudoephedrine Tablets  - 10 ea,https://www.walgreens.com/store/c/walgreens-24-hour-allergy-&-congestion-relief-fexofenadine-pseudoephedrine-tablets/ID=300445409-product,https://pics.walgreens.com/prodimg/667179/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,,31191700968,"Fexofenadine HCl USP - 180 mg (Antihistamine),Pseudoephedrine HCl USP - 240 mg (Nasal Decongestant)","Do not use Ask a doctor before use if you have When using this product Stop use and ask a doctor if If pregnant or breast-feeding, ask a health professional before use. 
Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away (1-800-222-1222).",10.0 ea,"Product Type:Allergy Medicine
Product Name:24 Hour Allergy & Congestion Relief Fexofenadine Pseudoephedrine Tablets
Brand:Walgreens
FSA/HSA Eligible:Yes
Size/Count:10.0 ea
UPC:31191700968Item Code:173847",
1751952999-15,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Walgreens Allergy Relief Diphenhydramine Caplets  - 600 ea,https://www.walgreens.com/store/c/walgreens-allergy-relief-diphenhydramine-caplets/ID=300437463-product,https://pics.walgreens.com/prodimg/648402/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,$31.99,31191702724,Diphenhydramine HCl - 25 mg (Antihistamine),"Do not use Ask a doctor before use if you have Ask a doctor or pharmacist before use if you are taking sedatives or tranquilizers. When using this product If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222). TAMPER EVIDENT: DO NOT USE THIS PRODUCT IF THE IMPRINTED FOIL SEAL OVER THE MOUTH OF THE BOTTLE IS CUT, TORN, BROKEN OR MISSING",600.0 ea,"Product Type:Allergy Medicine
Product Name:Allergy Relief Diphenhydramine Caplets
Brand:Walgreens
FSA/HSA Eligible:Yes
Size/Count:600.0 ea
UPC:31191702724Item Code:989560",$31.99
1751953004-16,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Benadryl Antihistamine Tablets for Travel Cherry  - 8 ea,https://www.walgreens.com/store/c/benadryl-antihistamine-tablets-for-travel-cherry/ID=prod6354950-product,https://pics.walgreens.com/prodimg/597604/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,$8.00,30045017008,Diphenhydramine HCl (25 mg) (Antihistamine),"Do not use Ask a doctor before use if you have Ask a doctor or pharmacist before use if you are taking sedatives or tranquilizers When using this product If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222)",8.0 ea,"Product Type:Allergy Medicine
Product Name:Antihistamine Tablets for Travel Cherry
Brand:Benadryl
FSA/HSA Eligible:Yes
Size/Count:8.0 ea
UPC:30045017008Item Code:980787",$8.00
1751953010-17,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,"Allegra Adult 24 Hour Allergy Tablets, Non-Drowsy Antihistamine  - 15 ea","https://www.walgreens.com/store/c/allegra-adult-24-hour-allergy-tablets,-non-drowsy-antihistamine/ID=300404267-product",https://pics.walgreens.com/prodimg/439049/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,$16.99,4116741238,Fexofenadine HCl - 180 mg (Antihistamine),,15.0 ea,"Product Type:Allergy Medicine
Product Name:Adult 24 Hour Allergy Tablets, Non-Drowsy Antihistamine
Brand:Allegra
FSA/HSA Eligible:Yes
Size/Count:15.0 ea
UPC:04116741238Item Code:985823",$16.99
1751953016-18,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Claritin Non-Drowsy Indoor & Outdoor Allergy Tablets  - 5 ea,https://www.walgreens.com/store/c/claritin-non-drowsy-indoor-&-outdoor-allergy-tablets/ID=prod6350352-product,https://pics.walgreens.com/prodimg/597494/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,$8.99,4110080317,Loratadine - 10 mg (Antihistamine),"[{""warning"":""Do not use if you have ever had an allergic reaction to this product or any of its ingredients.""},{""warning"":""Ask a doctor before use if you have liver or kidney disease. Your doctor should determine if you need a different dose.""},{""warning"":""When using this product do not take more than directed. Taking more than directed may cause drowsiness.""},{""warning"":""Stop use and ask a doctor if an allergic reaction to this product occurs. Seek medical help right away.""},{""warning"":""If pregnant or breast-feeding, ask a health professional before use.""},{""warning"":""Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away.""},{""warning"":""Uses:  temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:""},{""warning"":""}]",5.0 ea,"Product Type:Allergy Medicine
Product Name:Non-Drowsy Indoor & Outdoor Allergy Tablets
Brand:Claritin
FSA/HSA Eligible:Yes
Size/Count:5.0 ea
UPC:04110080317Item Code:185092",$8.99
1751953023-19,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,"XYZAL 24 Hour Allergy Relief Medicine, Prescription Strength  - 55 ea","https://www.walgreens.com/store/c/xyzal-24-hour-allergy-relief-medicine,-prescription-strength/ID=300404262-product",https://pics.walgreens.com/prodimg/587504/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,$32.99,4116735102,Levocetirizine Dihydrochloride - 5 mg (Antihistamine),,55.0 ea,"Product Type:Allergy Medicine
Product Name:24 Hour Allergy Relief Medicine, Prescription Strength
Brand:XYZALFSA/HSA Eligible:Yes
Size/Count:55.0 ea
UPC:04116735102Item Code:699440",$32.99
1751953031-20,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,"Claritin Chewables, 24 HR Non-Drowsy Allergy Relief Cool Mint  - 24 ea","https://www.walgreens.com/store/c/claritin-chewables,-24-hr-non-drowsy-allergy-relief-cool-mint/ID=300399128-product",https://pics.walgreens.com/prodimg/620477/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,$24.99,4110058098,Loratadine - 10 mg (Antihistamine),"Do not use if you have ever had an allergic reaction to this product or any of its ingredients. Ask a doctor before use if you have liver or kidney disease. Your doctor should determine if you need a different dose. When using this product do not take more than directed. Taking more than directed may cause drowsiness. Stop use and ask a doctor if an allergic reaction to this product occurs. Seek medical help right away. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away.",24.0 ea,"Product Type:Allergy Medicine
Product Name:Chewables, 24 HR Non-Drowsy Allergy Relief Cool Mint
Brand:Claritin
FSA/HSA Eligible:Yes
Size/Count:24.0 ea
UPC:04110058098Item Code:508976",$24.99
1751953039-21,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Walgreens Allergy Relief Liquid Cherry  - 4 fl oz,https://www.walgreens.com/store/c/walgreens-allergy-relief-liquid-cherry/ID=300419187-product,https://pics.walgreens.com/prodimg/640279/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,$6.79,31191721517,Diphenhydramine HCl USP - 25 mg (Antihistamine),"Do not use Ask a doctor before use if you have Ask a doctor or pharmacist before use if the user is taking sedatives or tranquilizers When using this product If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away at 1-800-222-1222.",4.0 fl oz,"Product Type:Allergy Medicine
Product Name:Allergy Relief Liquid Cherry
Brand:Walgreens
FSA/HSA Eligible:Yes
Size/Count:4.0 fl oz
UPC:31191721517Item Code:773437",$6.79
1751953047-22,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Zyrtec 24 Hour Allergy Dissolve Tablets Citrus  - 24 ea,https://www.walgreens.com/store/c/zyrtec-24-hour-allergy-dissolve-tablets-citrus/ID=prod6062769-product,https://pics.walgreens.com/prodimg/514849/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,$24.99,30045024225,Cetirizine HCl - 10 mg (Antihistamine),,24.0 ea,"Product Type:Allergy Medicine
Product Name:24 Hour Allergy Dissolve Tablets Citrus
Brand:Zyrtec
FSA/HSA Eligible:Yes
Size/Count:24.0 ea
UPC:30045024225Item Code:447687",$24.99
1751953055-23,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Astepro Allergy Antihistamine Nasal Spray  - 0.78 fl oz,https://www.walgreens.com/store/c/astepro-allergy-antihistamine-nasal-spray/ID=300420972-product,https://pics.walgreens.com/prodimg/642076/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,,4110058990,Azelastine HCl (Equivalent to 187.6 mcg Azelastine) - 205.5 mcg (Antihistamine),"Only for use in the nose. Do not spray in eyes or mouth. Do not use if you have ever had an allergic reaction to this product or any of its ingredients. Ask a doctor before use if you have had recent nose ulcers or nose surgery; had a nose injury that has not healed. When using this product drowsiness may occur; avoid alcoholic drinks; alcohol, sedatives, and tranquilizers may increase drowsiness, be careful when driving a motor vehicle or operating machinery. You may get a bitter taste in your mouth. To avoid this, tilt your head downward while spraying; Nasal discomfort or sneezing may occur right after use. Do not share this bottle with anyone else as this may spread germs.",0.78 fl oz,"Product Type:Allergy Medicine
Product Name:Allergy Antihistamine Nasal Spray
Brand:Astepro
FSA/HSA Eligible:Yes
Size/Count:0.78 fl oz
UPC:04110058990Item Code:397457",
1751953063-24,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Astepro Allergy Antihistamine Nasal Spray  - 0.37 fl oz,https://www.walgreens.com/store/c/astepro-allergy-antihistamine-nasal-spray/ID=300420970-product,https://pics.walgreens.com/prodimg/642074/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,$17.99,4110058992,Azelastine HCl (equivalent to 187.6 mcg azelastine) - 205.5 mcg (Antihistamine),"Only for use in the nose. Do not spray in eyes or mouth. DO NOT USE if you have ever had an allergic reaction to this product or any of it's ingredients. ASK A DOCTOR BEFORE USE IF YOU have had recent nose ulcers or nose surgery; have a nose injury that has not healed. WHEN USING THIS PRODUCT drowsiness may occur; avoid alcoholic drinks; alcohol, sedatives, and tranquilizers may increase drowsiness. Be careful when driving a motor vehicle or operating machinery. You may get a bitter taste in your mouth. To avoid this, tilt your head downward while spraying. Nasal discomfort or sneezing may occur right after use. Do not share this bottle with anyone else as this may spread germs.",0.37 fl oz,"Product Type:Allergy Medicine
Product Name:Allergy Antihistamine Nasal Spray
Brand:Astepro
FSA/HSA Eligible:Yes
Size/Count:0.37 fl oz
UPC:04110058992Item Code:396508",$17.99
1751953071-25,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,"Allegra Adult 24 Hour Allergy Gelcaps, Non-Drowsy Antihistamine  - 60 ea","https://www.walgreens.com/store/c/allegra-adult-24-hour-allergy-gelcaps,-non-drowsy-antihistamine/ID=300404268-product",https://pics.walgreens.com/prodimg/570465/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,$36.99,4116741222,Fexofenadine HCl - 180 mg (Antihistamine),"Do not use if you have ever had an allergic reaction to this product or any of its ingredients. Ask a doctor before use if you have kidney disease. Your doctor should determine if you need a different dose. When using this product Stop use and ask a doctor if an allergic reaction to this product occurs. Seek medical help right away. If pregnant or breast-feeding, ask a health professional before use.
Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Other information:",60.0 ea,"Product Type:Allergy Medicine
Product Name:Adult 24 Hour Allergy Gelcaps, Non-Drowsy Antihistamine
Brand:Allegra
FSA/HSA Eligible:Yes
Size/Count:60.0 ea
UPC:04116741222Item Code:933889",$36.99
1751953080-26,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,"Allegra Adult 12 Hour Allergy Tablets, Non-Drowsy Antihistamine  - 24 ea","https://www.walgreens.com/store/c/allegra-adult-12-hour-allergy-tablets,-non-drowsy-antihistamine/ID=300437332-product",https://pics.walgreens.com/prodimg/518652/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,$14.99,4116741314,Fexofenadine HCl - 60 mg (Antihistamine),,24.0 ea,"Product Type:Allergy Medicine
Product Name:Adult 12 Hour Allergy Tablets, Non-Drowsy Antihistamine
Brand:Allegra
FSA/HSA Eligible:Yes
Size/Count:24.0 ea
UPC:04116741314Item Code:322945",$14.99
1751953087-27,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Benadryl Ultratabs Antihistamine Cold & Allergy Relief Tablets  - 100 ea,https://www.walgreens.com/store/c/benadryl-ultratabs-antihistamine-cold-&-allergy-relief-tablets/ID=300411119-product,https://pics.walgreens.com/prodimg/484614/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,$18.99,30045017014,Diphenhydramine HCl (25 mg) (Antihistamine),Do not use Ask a doctor before use if you have Ask a doctor or pharmacist before use if you are taking sedatives or tranquilizers When using this product,100.0 ea,"Product Type:Allergy Medicine
Product Name:Ultratabs Antihistamine Cold & Allergy Relief Tablets
Brand:Benadryl
FSA/HSA Eligible:Yes
Size/Count:100.0 ea
UPC:30045017014Item Code:283497",$18.99
1751953093-28,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Flonase Allergy Relief Nasal Spray  - 0.62 fl oz   x 2 pack,https://www.walgreens.com/store/c/flonase-allergy-relief-nasal-spray/ID=prod6383571-product,https://pics.walgreens.com/prodimg/607108/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Nasal Sprays,,35310020334,Fluticasone Propionate (glucocorticoid) - 50 mcg (Allergy Symptom Reliever),,0.62 fl oz,"Product Type:Nasal Sprays
Product Name:Allergy Relief Nasal Spray
Brand:Flonase
FSA/HSA Eligible:Yes
Size/Count:0.62 fl oz
UPC:35310020334Item Code:827156",
